name,height,lat,lon
46008,4.0,57.1,-151.7
46009,4.0,60.2,-146.8
46010,4.0,46.2,-124.2
46011,5.0,34.956,-121.019
46012,5.0,37.363,-122.881
46013,4.0,38.238,-123.307
46014,4.0,39.235,-123.974
46015,4.0,42.779,-124.874
46016,4.0,63.283,-170.3
46017,4.0,60.283,-172.3
46018,4.0,60.283,-177.0
46019,4.0,57.2,-170.3
46020,4.0,55.883,-168.0
46021,4.0,57.7,-160.0
46022,5.0,40.72,-124.531
46023,10.0,34.714,-120.967
46024,10.0,33.0,-119.2
46025,4.0,33.749,-119.053
46026,5.0,37.755,-122.839
46027,5.0,41.852,-124.382
46028,5.0,35.712,-121.858
46029,5.0,46.143,-124.485
46030,5.0,40.423,-124.525
46031,5.0,55.5,-161.683
46032,5.0,54.2,-165.8
46033,5.0,55.783,-159.8
46034,5.0,55.1,-163.1
46035,5.0,57.026,-177.738
46036,5.0,48.35,-133.94
46037,5.0,48.3,-133.8
46038,5.0,41.9,-124.4
46039,5.0,48.2,-123.4
46040,5.0,44.8,-124.3
46041,5.0,47.353,-124.742
46042,5.0,36.785,-122.398
46043,5.0,46.9,-124.2
46044,5.0,36.7,-122.378
46045,5.0,33.84,-118.45
46047,5.0,32.398,-119.498
46048,5.0,32.9,-117.9
46050,4.0,44.677,-124.515
46051,4.0,34.48,-120.69
46053,4.0,34.252,-119.853
46054,4.0,34.265,-120.477
46059,4.0,38.072,-129.966
46061,5.0,60.23,-146.843
46062,10.0,35.101,-121.01
46063,5.0,34.273,-120.699
46066,5.0,52.785,-155.047
46069,5.0,33.674,-120.212
46070,5.0,55.082,175.153
46071,5.0,51.125,179.012
46072,5.0,51.656,-172.058
46073,5.0,55.031,-172.001
46075,5.0,53.983,-160.817
46076,5.0,59.502,-147.99
46077,5.0,57.91,-154.175
46078,5.0,55.556,-152.582
46079,5.0,59.05,-152.23
46080,5.0,57.947,-150.042
46081,5.0,60.799,-148.263
46082,5.0,59.681,-143.372
46083,5.0,58.3,-137.997
46084,5.0,56.6,-136.101
46085,5.0,55.868,-142.492
46086,5.0,32.491,-118.035
46087,5.0,48.493,-124.726
46088,5.0,48.334,-123.165
46089,5.0,45.925,-125.771
46090,3.2,32.876,-120.718
46091,4.0,36.835,-121.899
46092,4.0,36.75,-122.03
46093,4.0,36.69,-122.41
46094,3.0,44.642,-124.3
46097,4.5,44.639,-124.304
46099,4.5,46.986,-124.566
46100,4.5,46.851,-124.972
46105,4.5,59.049,-152.233
46106,4.5,59.76,-152.09
46107,4.5,59.925,-147.992
46108,4.5,59.597,-151.829
46109,2.1336,48.123,-123.395
46110,2.1336,48.115,-123.032
46111,2.74321,48.131,-122.748
46112,2.74321,48.1,-122.73
46113,1.524,47.73,-122.646
46114,1.524,36.723,-122.351
46115,1.524,57.069,-177.75
46118,2.97,48.724,-122.576
46119,3.7,47.967,-124.95
46120,2.1,47.761,-122.397
46121,2.1,47.28,-122.728
46122,2.1,47.803,-122.803
46123,2.1,47.375,-123.008
46124,2.1,47.422,-123.113
46125,2.1,47.907,-122.627
46126,2.1,53.951,-166.602
46128,3.0,43.295,-124.537
46131,5.0,49.91,-124.99
46132,5.0,49.74,-127.93
46134,5.0,48.65,-123.5
46138,5.0,52.437,-129.795
46139,5.0,48.844,-126.01
46145,5.0,54.37,-132.44
46146,5.0,49.34,-123.73
46147,5.0,51.83,-131.22
46181,5.0,53.83,-128.83
46183,5.0,53.62,-131.1
46184,5.0,53.91,-138.85
46185,5.0,52.42,-129.79
46204,5.0,51.38,-128.77
46205,5.0,54.19,-134.32
46207,5.0,50.87,-129.92
46208,5.0,52.52,-132.69
46211,5.0,46.858,-124.244
46212,5.0,40.753,-124.313
46213,5.0,40.295,-124.732
46214,5.0,37.948,-123.468
46215,5.0,35.204,-120.859
46216,5.0,34.333,-119.803
46217,5.0,34.167,-119.435
