sar,station,wdir,wspeed
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,46099,257,0.6
S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B,ttiw1,999,99.0
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46029,360,0.8
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46100,175,1.5
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46243,999,99.0
S1B_IW_GRDH_1SDV_20170519T020903_20170519T020928_005661_009EA1_21AD,46248,999,99.0
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,46050,357,2.5
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,46097,357,2.8
S1B_IW_GRDH_1SDV_20170519T020838_20170519T020903_005661_009EA1_BBF6,nwpo3,343,3.8
S1B_IW_GRDH_1SDV_20170519T020813_20170519T020838_005661_009EA1_CCAD,46015,344,5.2
