,ascending,ndbc,ndbc_dir,ndbc_height,ndbc_speed,sar_name
164,Ascending,51000,50,5.0,5.3,S1A_IW_GRDH_1SDV_20170526T042323_20170526T042348_016748_01BD1F_C261
165,Ascending,51000,108,5.0,5.6,S1B_IW_GRDH_1SDV_20170520T042241_20170520T042306_005677_009F19_E059
166,Ascending,51001,28,4.0,11.6,S1A_IW_GRDH_1SDV_20170522T045641_20170522T045706_016690_01BB57_CEEE
167,Ascending,51001,36,4.0,6.9,S1B_IW_GRDH_1SDV_20170528T045559_20170528T045625_005794_00A280_F07C
168,Ascending,51002,69,4.0,7.4,S1B_IW_GRDH_1SDV_20170530T043719_20170530T043748_005823_00A34F_71EB
169,Ascending,51002,70,4.0,8.4,S1A_IW_GRDH_1SDV_20170524T043801_20170524T043830_016719_01BC36_D799
170,Ascending,51003,33,5.0,8.7,S1B_IW_GRDH_1SDV_20170523T044558_20170523T044627_005721_00A05D_F959
171,Ascending,51003,51,5.0,6.1,S1A_IW_GRDH_1SDV_20170522T045457_20170522T045526_016690_01BB57_36B9
172,Ascending,51003,63,5.0,4.7,S1A_IW_GRDH_1SDV_20170529T044640_20170529T044709_016792_01BE81_2926
173,Ascending,51003,92,5.0,3.0,S1B_IW_GRDH_1SDV_20170528T045415_20170528T045444_005794_00A280_FB83
174,Ascending,51004,41,4.0,9.3,S1A_IW_GRDH_1SDV_20170526T042139_20170526T042208_016748_01BD1F_E52F
175,Ascending,51004,59,4.0,7.6,S1B_IW_GRDH_1SDV_20170520T042057_20170520T042126_005677_009F19_5021
176,Ascending,51101,35,5.0,6.4,S1B_IW_GRDH_1SDV_20170528T045534_20170528T045559_005794_00A280_C65C
177,Ascending,amaa2,89,15.7,8.6,S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F
178,Ascending,amaa2,324,15.7,1.8,S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D
179,Ascending,auga2,124,6.6,5.1,S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F
180,Ascending,auga2,354,6.6,1.3,S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D
181,Ascending,blia2,302,21.6,2.8,S1B_IW_GRDH_1SDV_20170523T031848_20170523T031917_005720_00A055_CF85
182,Ascending,buzm3,124,24.8,5.1,S1A_IW_GRDH_1SDV_20170531T224243_20170531T224308_016832_01BFC0_2B8B
183,Ascending,buzm3,193,24.8,9.7,S1A_IW_GRDH_1SDV_20170701T223434_20170701T223503_017284_01CD9C_8D22
184,Ascending,buzm3,203,24.8,10.4,S1A_IW_GRDH_1SDV_20170619T223433_20170619T223502_017109_01C857_EA93
185,Ascending,buzm3,234,24.8,11.6,S1A_IW_GRDH_1SDV_20170519T224242_20170519T224307_016657_01BA57_D7E2
186,Ascending,buzm3,250,24.8,4.7,S1A_IW_GRDH_1SDV_20170526T223432_20170526T223501_016759_01BD80_8CF2
187,Ascending,cdrf1,287,10.0,3.3,S1A_IW_GRDH_1SDV_20170530T233654_20170530T233719_016818_01BF4E_B181
188,Ascending,clkn7,213,9.8,4.8,S1A_IW_GRDH_1SDV_20170522T230540_20170522T230605_016701_01BBB0_F52D
189,Ascending,dbln6,235,20.4,6.3,S1A_IW_GRDH_1SDV_20170522T230745_20170522T230810_016701_01BBB0_670A
190,Ascending,desw1,0,31.4,0.0,S1B_IW_GRDH_1SDV_20170519T020928_20170519T020953_005661_009EA1_842B
191,Ascending,desw1,135,31.4,0.1,S1B_IW_GRDH_1SDV_20170531T020929_20170531T020954_005836_00A3AE_A081
192,Ascending,disw3,45,25.3,14.4,S1B_IW_GRDH_1SDV_20170517T234925_20170517T234950_005645_009E30_679B
193,Ascending,disw3,232,25.3,9.0,S1B_IW_GRDH_1SDV_20170529T234926_20170529T234951_005820_00A33D_CB27
194,Ascending,drfa2,46,6.6,7.6,S1B_IW_GRDH_1SDV_20170519T035144_20170519T035209_005662_009EA7_BEFD
195,Ascending,drfa2,212,6.6,1.1,S1B_IW_GRDH_1SDV_20170531T035145_20170531T035210_005837_00A3B4_37E4
196,Ascending,ffia2,0,22.0,0.0,S1B_IW_GRDH_1SDV_20170517T022823_20170517T022851_005632_009DD4_6A67
197,Ascending,ffia2,22,22.0,1.5,S1A_IW_GRDH_1SDV_20170528T023742_20170528T023807_016776_01BE04_3125
198,Ascending,fila2,80,15.7,4.5,S1B_IW_GRDH_1SDV_20170519T035119_20170519T035144_005662_009EA7_1B8F
199,Ascending,fila2,336,15.7,0.9,S1B_IW_GRDH_1SDV_20170531T035120_20170531T035145_005837_00A3B4_4F2D
200,Ascending,iosn3,5,19.2,4.0,S1A_IW_GRDH_1SDV_20170526T223501_20170526T223526_016759_01BD80_0095
201,Ascending,iosn3,146,19.2,6.5,S1A_IW_GRDH_1SDV_20170531T224308_20170531T224333_016832_01BFC0_DEAB
202,Ascending,iosn3,319,19.2,13.4,S1A_IW_GRDH_1SDV_20170519T224307_20170519T224332_016657_01BA57_4FF9
203,Ascending,ktnf1,272,10.0,3.2,S1A_IW_GRDH_1SDV_20170530T233654_20170530T233719_016818_01BF4E_B181
204,Ascending,ktnf1,300,10.0,3.0,S1A_IW_GRDH_1SDV_20170518T233653_20170518T233718_016643_01B9E6_92D4
205,Ascending,lonf1,251,7.0,4.6,S1A_IW_GRDH_1SDV_20170525T232718_20170525T232743_016745_01BD07_5279
206,Ascending,45165,261,2.0,8.7,S1B_IW_GRDH_1SDV_20170531T233129_20170531T233158_005849_00A412_B336
207,Ascending,46013,256,4.0,1.8,S1B_IW_GRDH_1SDV_20170524T021450_20170524T021515_005734_00A0BC_1D11
208,Ascending,46022,350,5.0,6.1,S1B_IW_GRDH_1SDV_20170524T021540_20170524T021605_005734_00A0BC_83DF
